       1       0   10616    1.9717    2  179    2  187
    -3   -0.702    0.568     -0.790  0.199    -6.44     1.66    -5.25     8.20
     1    0.066    0.350      0.457  0.010    -3.27     2.89     5.84    10.50
     2   -0.146    0.498     -0.192  0.006    -5.95    -1.22    -1.50     4.10
    -2   -0.890    0.638      2.003  0.006    -5.17    -1.29     3.78     4.97
     2   -0.082   -0.066      0.025  0.006     3.64     5.59    -0.28     4.17
    -1    0.329    0.211     -0.253  0.010     0.31     5.39     0.75     1.90
     2    0.001   -0.518     -0.264  0.006    -1.82    -3.81    -3.42     4.83
    -1    0.397   -0.068     -1.002  0.010     0.11    -0.33   -15.74    16.51
    -2   -0.416   -1.488     -0.539  0.006     5.05    -1.48    -0.08     3.72
    -2    0.569    0.710      2.344  0.006     5.60     2.77     3.36     3.89
    -2    0.117   -0.063      0.044  0.006     5.29     0.59    -0.29     1.90
    -2    0.157   -0.453     -0.386  0.006     2.66     2.00    -1.13     2.58
     3    0.080   -0.178     -0.054  0.199     2.89    -1.69     0.71     7.33
    -1    0.063   -0.377     -0.624  0.010    -3.25    -4.68    -0.94     1.12
     4   -0.098    1.062     -0.594  1.350    -3.69     2.14    -4.07     9.23
     3    2.728   -1.181      2.333  0.199     3.09     2.17     0.86     1.33
    -1   -0.170    0.128      1.093  0.010     1.19     5.06    39.79    41.26
     1    0.402   -0.348      0.632  0.010     6.21    -2.75     3.32     6.40
    -1    1.351   -1.463     -0.888  0.010     3.87    -3.48    -0.18     1.10
    -2    0.211    0.106      0.170  0.006     2.31     2.66    13.14    13.95
     2   -0.925    3.039      2.597  0.006     0.19     4.01     0.87     1.60
     1   -0.119   -0.652      0.344  0.010     0.13    -6.52     2.51     5.49
     2    0.001    0.038     -0.052  0.006    -0.23    -2.36    -4.24     6.02
     2   -0.227    0.114     -0.087  0.006    -1.56    -2.47    -1.64     2.84
     3    0.101    0.214      0.443  0.199     2.84     2.23     0.98     2.45
    -3   -0.172    1.207      0.647  0.199     3.19     4.82     2.60     4.53
     1   -1.259   -1.189     -1.047  0.010    -5.22    -0.79    -1.10     2.24
    -2    0.181    0.227     -0.530  0.006    -0.76    -0.30    -4.91     6.46
     2    0.035   -1.375      0.284  0.006    -2.04    -5.80     0.66     2.76
    -2   -0.202   -0.780      0.108  0.006    -2.28    -4.39     0.17     1.92
     1   -0.065    0.056     -0.097  0.010    -1.83     2.95    -2.76     7.66
    -2    0.448    0.069     -0.925  0.006     3.10     2.42    -6.54     8.57
    -2    2.050    0.337     -1.778  0.006     1.22     4.26    -0.05     0.07
    -2    0.224    0.420     -0.384  0.006     2.52     4.76    -0.77     1.79
    -1    0.145    0.567     -0.431  0.010     1.06     5.89    -3.67     4.56
     1   -0.356   -0.187      0.113  0.010    -3.15    -8.08     1.32     7.72
    -1    0.007   -0.078     -0.258  0.010    -1.68    -9.70   -11.33    14.19
     2    0.510   -0.549     -2.992  0.006    -1.21    -2.40    -8.02     8.77
    -2   -0.399   -0.552     -0.346  0.006     0.57    -3.07    -1.06     2.02
    -1   -0.060    0.024     -0.017  0.010   -10.28     6.16    -8.80    14.61
     3   -0.219    0.189     -0.239  0.199    -1.77    -0.84    -2.35     4.71
     2    0.437   -0.489     -1.661  0.006     3.98     1.82    -4.36     4.84
    -3    0.597   -1.031     -1.600  0.199     4.35    -1.71    -6.26     8.35
    -2    0.245    0.719      0.450  0.006     0.17     4.00     2.02     4.00
     3   -0.170   -0.103      0.806  0.199    -0.57     2.64     3.01     5.30
     2   -0.218   -0.020     -1.128  0.006    -3.52     4.61    -3.09     3.53
    -2   -0.253   -0.136     -0.413  0.006    -6.14     4.29    -4.21     5.63
