      1      1   7579    1.9717      184 187   6 178   3 184      5.0202
  2112    0.000    0.000     99.9956  0.940     2.65    -7.68     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -5.17     5.04    -0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -3.32     5.68    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     0.17    -4.88     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -5.00     5.04    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     5.19    -1.62     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     7.02    -4.08     0.20     0.20
  2112    0.000    0.000     99.9956  0.940    -3.79    -5.52     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     5.83    -5.73     0.20     0.20
  2212    0.000    0.000     99.9956  0.940     4.55    -4.97     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     6.95    -5.02     0.20     0.20
  2212    0.000    0.000     99.9956  0.940     2.66    -8.08     0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -5.68     4.82    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940    -2.89    -7.04     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940     4.50     5.87    -0.20     0.20
  2112    0.000    0.000    -99.9956  0.940     0.44     8.29    -0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -4.95     5.85    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     6.63    -1.80     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940     3.37     5.31    -0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -2.12     6.22    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     5.91    -2.16     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     6.00    -2.57     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -2.28     5.65    -0.20     0.20
    22   -0.075    0.013      0.0005  0.000    -0.36     1.84     0.00     0.80
    22    0.521   -0.400     -0.0049  0.000    -1.48     2.27    -0.01     0.80
    22   -0.136   -0.020      0.0052  0.000    -1.60     0.69     0.03     0.80
    22   -0.116    0.649     -0.0745  0.000     2.28     4.47    -0.09     0.80
    22    0.055    0.365      0.0465  0.000    -0.30     7.03     0.10     0.80
    22    0.003    0.127      0.0277  0.000     0.91     2.49     0.17     0.80
    22   -0.409   -0.144     -0.1628  0.000     0.02    -2.56    -0.28     0.80
    22    0.062   -0.040      0.0359  0.000    -1.51    -3.82     0.35     0.80
    22    0.039   -0.124     -0.0637  0.000    -3.52    -0.06    -0.35     0.80
    22   -0.506    0.383      0.3178  0.000    -2.98    -1.56     0.36     0.80
    22   -0.010   -0.053     -0.0379  0.000    -3.89    -0.18    -0.57     1.00
    22   -0.031   -0.326     -0.2730  0.000    -4.56    -2.91    -0.64     1.00
    22   -0.030    0.034     -0.0383  0.000    -0.36    -1.36    -0.64     1.00
    22    0.085    0.036     -0.0795  0.000    -1.21    -1.38    -0.65     1.00
    22    0.005   -0.274     -0.2725  0.000     1.72     1.34    -0.71     1.00
    22   -0.444   -0.049     -0.4925  0.000    -4.85    -3.18    -0.89     1.20
   111   -0.046    0.107     -0.3546  0.135    -5.40     4.04    -6.04     6.60
    22   -0.170   -0.312     -0.4226  0.000    -0.61    -0.13    -0.92     1.20
  -211   -0.081    0.349     -0.1925  0.140    -1.60    11.29    -1.62     9.00
   211    0.147    0.613      0.3359  0.140    -4.16     8.92     0.96     5.00
   111   -0.363   -0.338      0.3627  0.135    -6.65    -5.07     0.58    14.60
    22   -0.322   -0.390      0.7366  0.000    -0.75    -0.07     1.15     1.40
   211    0.150   -0.271      0.3853  0.140    -0.95    -6.81     0.68     1.60
  -211   -0.309    0.688      0.1385  0.140     1.03     7.73     0.53     3.20
   111   -0.280    0.703      6.5169  0.135    -2.91     6.14     6.04     6.40
    22   -0.091   -0.081      0.1827  0.000    -1.97    -0.52     1.16     1.40
   211    0.133   -0.013     -0.7449  0.140 0.27E+05 0.20E+05 -.20E+06 0.21E+06
   111    0.693   -0.461     -0.0228  0.135     1.28    -4.95     1.82     7.20
    22   -0.039   -0.030      0.0824  0.000     0.47     2.69     1.20     1.40
   111   -0.026    0.157     -0.3570  0.135 0.27E+05 0.20E+05 -.20E+06 0.21E+06
