       1       0   10597    1.9717    6  178    3  184
    -2    1.136   -0.409      0.740  0.006     1.71     0.48     0.11     0.73
     1    2.072   -0.460      0.621  0.010     3.52     0.42     0.67     2.63
     1    0.391   -0.335      1.134  0.010    -0.98    -5.32    13.44    14.60
    -3   -0.257    0.767     -0.758  0.199    -4.42    -1.84    -2.02     3.77
     1   -0.022   -0.167     -0.281  0.010    -6.14     1.17    -1.51     5.54
    -3   -0.687    0.713     -0.618  0.199    -3.38     2.89    -0.94     3.15
    -2    0.037   -0.093     -0.478  0.006     3.32    -3.81   -16.37    18.74
     3   -3.426   -0.752     -3.316  0.199    -2.78     0.56    -2.56     3.63
    -2    0.042    0.039      0.098  0.006    -0.62    -3.17     4.08     6.07
     1    0.112   -0.010      0.080  0.010     1.01    -2.80    -0.36     4.38
     2   -0.384   -3.964     -1.628  0.006    -4.20    -3.69    -0.34     0.70
    -1    0.065   -0.375      0.064  0.010    -3.86    -3.65     0.42     1.85
     1   -0.548   -0.029     -2.468  0.010    -4.44     1.50    -2.82     3.25
    -3   -1.193    1.244     -1.002  0.199    -4.31     1.25    -0.54     1.38
    -2    0.017    1.157      0.959  0.006    -3.40     4.67     0.03     0.06
    -2   -0.903    1.440      1.208  0.006    -3.40     4.67     0.03     0.06
    -2   -0.483    0.771      0.245  0.006    -3.40     4.67     0.03     0.06
     2   -0.261   -1.073      0.949  0.006    -4.33    -2.97     1.49     2.66
    -2    0.299   -0.217      0.537  0.006     1.31    -4.00     4.47     7.62
     1   -0.046   -0.048     -0.060  0.010     0.66    -4.49   -16.78    18.80
     1    0.199    0.074     -0.354  0.010     2.60    -0.40    -2.03     4.53
     2    0.041   -0.005     -0.111  0.006     1.30    -1.12     0.13     3.15
     2    0.074   -0.003     -0.057  0.006     1.46     1.94    -4.73     9.24
    -1   -0.086    0.008      0.031  0.010    -1.70    -1.61    -1.33     6.76
    -1   -0.032    0.119      0.139  0.010    -0.33     1.00     4.78     7.20
     1    0.009    0.193     -0.513  0.010    -0.59     3.18    -4.05     7.75
    -2    0.111   -0.196     -0.250  0.006     0.17    -9.39    -7.95    15.55
    -1   -0.088   -0.156      0.212  0.010    -5.39     1.19    -0.08     0.45
    -1   -0.634   -0.234     -0.326  0.010    -6.18    -0.10    -0.47     1.61
     2   -0.121    0.073     -0.147  0.006   -12.07     7.81   -12.36    22.27
    -1    0.405    0.344     -0.352  0.010     2.59     0.46    -1.88     5.32
     3   -0.900   -0.144     -0.772  0.199    -0.80    -2.46    -1.67     4.60
    -1    0.768   -0.658     -1.210  0.010     4.08    -3.62    -2.62     3.83
     2   -0.571   -0.360     -0.051  0.006    -5.04    -4.87     0.39     2.49
    -2   -0.199   -0.128     -0.412  0.006    -3.69    -4.38    -0.93     1.61
